"Text_Review"
"✅ Trip Verified |  Porter destroyed my luggage, and then did not make it right at all. Three large holes, two wheels ripped off. I then spoke to the rep at the airport who told me to call. The person on the phone said I must use the website. I did that and haven't heard anything. Honestly, I believe it's all a tactic from them. Create as much friction as possible and hope the passenger gives up on their rights.  Disappointing behavior."
"✅ Trip Verified |  Porter is a great option if you want a flight delay. I've never seen an airline get delayed as much as Porter. Go with Air Canada. 50 dollars extra per ticket is better than waiting 2.5 hours for your flight to arrive."
"✅ Trip Verified |   Flight was at 4pm. Loaded the flight, told to unload the flight, given no communication whatsover regarding lodging, another flight, etc. told by the flight attendee to go get your luggage at carousel 48 and see the porter agent at the check-in counter. Went to the flight check-in counter and not one porter associate. People with mobility challenges going to get their luggage and then told the flight is back on after we’ve left security. We then have to go through multiple busy lanes of people to go through security again and are rushed back to the same gate. We are now 7:50pm and, we still have not left the tarmack, again also not given any communication. We then when coming back on the plane are told to refrain from eating peanuts as someone has a severe food allergy yet, they can’t give us anything to drink or eat. The attendant should not have told us to go to Porter check in m, she should have had us sit and wait for more information. I would not recommend. "
"Not Verified |  Best food I've ever had on a plane and I'm a chef! Fantastic service, nice new plane, impeccably clean, pretty comfortable seat and wifi for the whole trip. A screen to watch in flight entertainment would top it off as my phone screen is small but otherwise cannot fault. I flew with Flair Airlines a few days ago and Porter Airlines feels First Class in comparison."
"Not Verified |  I cannot recommend to anyone to fly with Porter. We had one flight with them on October 22, 2023 - a direct flight with no layovers. And somehow they lost our checked bag. They said that they can tell that we checked it in, but it went no further. So the bag is still at Toronto airport and they are doing absolutely nothing to recover it. After multiple check ins and calls regarding the bag, we had to submit a list of all items in there. Now they’re asking for receipts in order to refund us some of what we have lost. Some items are vintage and many years old - there are no receipts. I do not feel any amount of confidence in this airline, especially when it comes to the care of its customers."
"Not Verified |  I wish I could give a raving review for Porter but unfortunately, my experience was far from pleasant. It was like stepping back to the 1960s - and not in a charming, whimsical way. It was as if modern conveniences, such as online check-in, were all but alien concepts to this airline. The ""in-person-only"" check-in policy is nothing short of archaic and cumbersome, with one bizarre exception - only two nationalities have the privilege of checking in online. Not only does this seem like a potential infringement on equality rights, but it also strikes me as potentially legally questionable. Nevertheless, such favoritism does nothing to enhance my own, or any other passenger's experience who does not fall into these specific nationalities. Moreover, the physical check-in counter promptly shuts down 75 minutes before the flight. This outdated policy could easily result in missed flights for unsuspecting customers. Frankly, if the company's approach to something as straightforward as check-in is this outmoded and complex, I dread to think about how they approach more critical matters. Punctuality and safety must not fall victim to such outdated practices. My concern, therefore, is that this could just be the tip of the iceberg. It naturally raises questions about Porter's operations behind the scenes, where we, as passengers, can't see. My advice to prospective passengers is to tread carefully. Understand the policies thoroughly before booking with Porter. There may be more beneath the surface that could negatively impact your trip."
"Not Verified |  
My family member passed away unexpectedly and I was not able to take my flight. I called to cancel and they said sorry but we cannot return your fare. So you are going to keep my money and also charge someone for the seat I won’t be in. So you are making double the money off one seat. People don’t expect for family members to pass unexpectedly there should be some leeway on these types of spots people are put in."
"Not Verified |  Flown with Porter Airlines 3 times. Very friendly staff and great in flight service for food and drinks however they delayed my flight 3 times. I was supposed to leave at 5:15PM and was supposed to be in Ottawa at 7:00PM then i was boarding and then they delayed the flight because the A/C was broken so i wait to 9:30PM and i get to Ottawa by 11:00PM! and i found it was expensive 1000 just to go to Ottawa but overall its good."
"Not Verified |  This airline doesn’t allow you to have an electronic boarding pass unless you purchase a reserve ticket. If you get a basic ticket they force you to go to the counter to pick up your ticket. Once we picked up our ticket they randomly weigh the carry on and if you’re over 9kgs they force you to check your bag and charge you over $50 an make you check the bag. They attendants don’t weigh all the carryon but if they do and you are over the 9 kgs you will have to pay. Horrible experience and inconsistencies. Poor experience not sure if I will use them again or recommend them. Everyone should have access to their boarding passes and if your going to weigh a carryon, do it for all, don’t single out people."
"Not Verified |  Amazing airline. On time. No middle seat. Food choices to purchase are amazing and healthy. Staff are great I will look for Porter to make my next flight reservations"
"Not Verified | Just wanted to say how great this airline was, lots of room nothing was to much trouble. Very friendly staff, used it twice once from Toronto to Halifax and the return. Great on both journeys"
"Not Verified |  Very disappointed with Porter airlines. First time flying with this company. This is a connecting flight from Italy. We arrived in Montreal at 4pm and it is now 7:45 pm and they have delayed our flight 4 times now.. This company including the airport are very unorganized and quite simply put a disaster. Will never fly with Porter again."
"✅ Trip Verified | The flight was short, relatively comfortable but my on-board small bag was taken from all passengers and stored as luggage. I received my bag with a broken handle (the top of telescopic handle that one uses to roll the back instead of carrying it). As directed by their rep, I filed a claim online with a picture as there was no one to talk to me at the airport, and that I never gotten a reply. Re-visited the website to follow up, and I sent an email, but after over a month now, I received no answer, and it looks like I may never receive one."
"✅ Trip Verified | Everything went so smooth with the flight. The crew were fantastic, five star plus the food was great. Haven’t had such good food on a plane and just loved everything Porter did for us."
"✅ Trip Verified | Everything is wonderful!  It's my first flight with free Internet. They serve various snacks, various drinks (red and white wine, types of juices, coffe, tea) free. Crews very polite and kind, the plane clean. Thank you Porter and I hope you keep your advantages. "
"✅ Trip Verified |  This complaint regards to the ground-crew at Pearson airport. My wife needs assistance with a wheel chair. This assistance was requested and acknowledged when tickets were booked. Upon arrival at Toronto airport there was a wheel chair and porter to assist. The porter pushed the chair to the end of the disembark corridor to the departure lounge, stopped in the centre of the entrance and walked away. He never returned and so after waiting 20 minutes or so, I took care of the issue myself, pushing the wheel chair, together with 2 carry on suitcases, etc. As a result , it took approximately 2 hours from the time we landed, to the time I finally reached the rental car location. I understand the company supplying this service is on contract to Porter, but ultimately it is a Porter issue. There would appear to be no supervision, no accountability, thus personnel who do not care about customers. This lack of service is appalling considering it involves aged and disabled customers"
"Not Verified |  Porter is a terrible airline. I was originally excited to try them and had high hopes but I am now extremely disappointed. Flight delayed. They try to make it sound that the late arrival of their aircraft is not their fault. This time the delay is 100 percent their fault. Wifi on board does not work so do not believe their hype about having free wifi. Seats are extremely uncomfortable and leg room is awful. They try to charge you for choosing a seat. Their agents at the check in desks in Toronto Pearson are the slowest I have ever seen and I have traveled to many airports. "
"Not Verified |  Our flight was cancelled due to weather in NJ 30 minutes before we were supposed to take off. The flight we got re booked on is for another day. The Porter staff informed us because it was a circumstance out of their control they could not provide us with housing until our flight. Even when we showed them the notice on Porters website stating that “if a delay is expected overnight we will provide hotel or other reasonable accommodation, including transportation to and from accommodation.” Not only did they just say nothing could be done when this was brought to them they were in fact rude. I will never be flying Porter again. This was a terrible experience."
"Not Verified |  Worst airline I've ever experienced. First they cancelled our flight few hours before the flight time, rebooked us later that night and the only option was not a direct flight. We had to fly to Ottawa and transfer again to Toronto. They also needed us to claim luggage and check in again at Ottawa. But when we arrived at Ottawa, there were no luggage at all at the baggage claim. Two other passengers were also there looking for their bags but no luck. The staff there said ""I have a feeling that your luggage will be in Toronto when you guys get there, because it's not here and it's not in Boston. Now you guys must run to the gate since we are holding the transfer flight for you."" And so we did. But there was no luggage waiting for us in Toronto. We all filed a report there. The next few days we kept calling them asking for status, but no update until the fifth day. But instead of apologizing to us, they blamed us for not getting the luggage at Ottawa, and they do not want to take responsibility at all. As I'm writing this review, we are still communicating with them and they have not been helpful at all! And we still have not gotten our luggage back yet."
"✅ Trip Verified |  Problems happen, but getting on a plane and sitting in for more than 1 hour and after that time you announce canceling the flight for a problem in your washroom is ridiculous. I was supposed to depart Calgary at 13:35 and arrive at 19:25 Toronto time. Great that they rebooked for me and my wife on the next available flight and which was the next day early morning (6:30 am) and they offered no hotel for the night. Their answer was since you booked through a third party, which was Expedia, then they have to reimburse your stay in a hotel, we cannot guarantee reimbursement for any hotel expenses for this night. The only good thing they did, provided us with breakfast vouchers from the Airport. I understand that but it's not fair leaving your customers stranded in the Airport with no clue. I thank Expedia for assisting us in getting a voucher for a 100 CAD to get a sleep at least with dignity."
"Not Verified |  Why is Porter cancelling so many flights out of Thunder Bay?. Mondays morning flight 2630 845 cancelled Sunday at 3pm (flight crew shortage) , rescheduled to 2638 at 730 that evening. Cancelled at 316 pm just before flight time, crew out of position due to maintenance. A promised reschedule shortly never happened - it’s been 2 days. I am out a lot of money and experienced a lot of angst to find another airline to get me to Toronto for an important family event. I always spoke highly and enjoyed many good years of flying Porter with I and my husband VIP members, but this type of treatment is inexcusable. We have two more flights booked for time sensitive events coming up over the next few months and have lost all confidence Porter will be able to fulfill honouring our booked and paid flights. We can only assume that with their aggressive flight expansion out west, they have effectively abandoned efficiently serving their original “bread and butter” route schedules."
"✅ Trip Verified |  Overall better than Air Canada (Timmins- Toronto). I fly this route frequently using both airlines (Porter & AC- maybe AC more often than Porter). This review does not relate to the quality of service by check-in agents & ground staff in Timmins. -Much cheaper ticket than Air Canada, better service with kinder flight attendants, better selection of snacks & beverages (AC only gives prezels + water). Aircraft has roomier seats with more space to put bags, generally cleaner; new aircraft, In-flight magazine available. Don't fly to Pearson unless you absolutely have to because Toronto City airport has more efficient service options. Efficient luggage handling, faster exit from aircraft & options to collect bags directly after landing right at the gate. There is a free & fast shuttle bus to Union station with wifi, then take UP express onto Pearson. (Unless you have a short connection under 3 hours departing from Pearson or you have checked bags to struggle with, then fly with AC to directly connect at Pearson. Disadvantage: AC has a better frequently flier program; AC has better French services. Both airlines frequently cancel and have poor customer service dealing with missed flights."
